Date,PFE,JNJ,NVAX,MRNA,AZN
2019-01-02,1.0,1.0,1.0,1.0,1.0
2019-01-03,0.9720229600356115,0.9841095466345476,1.0355329354559057,1.0110893722857142,1.0140213303845231
2019-01-04,0.9942195142042446,1.0006261999063728,1.0862943548098198,1.1063274082764996,1.0365081531038352
2019-01-07,0.9995374069386525,0.9942073985695545,1.1472080967624065,1.0613177128986162,1.0259260999518758
2019-01-08,1.0041617144185793,1.017299403154791,1.1675126451400275,1.1056752020414726,1.0087302501704083
2019-01-09,1.0020808572092896,1.009236574767247,1.1522842580617427,1.06523157240553,1.0
2019-01-10,0.9782658360010209,1.0153424022991275,1.131979612864398,1.0750162833824894,1.0121694201267017
2019-01-11,0.9914450717404739,1.0156554391781896,1.1167512257861132,1.108936730894009,0.9775133918332292
2019-01-14,0.9796532094016764,1.004148637453844,1.0558374838335267,1.0919765071382492,0.9404761521632368
2019-01-15,0.9879769425763756,1.012602651560498,1.0761421290308713,1.0821917961612897,0.955291112396996
2019-01-16,0.9736414270752473,1.0022699746606012,1.060913645132863,1.060665382244239,0.9468255127859369
2019-01-17,0.9819651602499463,1.0104891638023656,1.065989806432199,1.0639269110967753,0.960052998768683
2019-01-18,0.9833526350964487,1.0230136034486912,1.040609096755242,1.0887149782857128,0.9669312314049995
2019-01-22,0.9773409542158662,1.0082190629935155,1.0253807096769572,1.015003294002303,0.9595239122025255
2019-01-23,0.9747976053910757,1.0082190629935155,1.0456852580545781,0.9647749533894009,0.9706349446443716
2019-01-24,0.9468207683183809,0.9943639485461477,1.060913645132863,0.9549902424124415,0.9468255127859369
2019-01-25,0.9396531120136635,1.0037571994382366,1.111675064486777,0.9726027346129034,0.9457673396536221
2019-01-28,0.9139885301267789,1.0097064139193996,1.0862943548098198,0.9425962088179726,0.9388891070173055
2019-01-29,0.942658851008108,1.020195577721765,1.1065989031874408,0.954337911758064,0.9404761521632368
2019-01-30,0.9613870731209491,1.0304501688557381,1.1573603225413551,0.9869536979608291,0.9510583125914664
2019-01-31,0.990075045579619,1.0417221456151942,1.1878171935176485,1.0828441268156672,0.9677250758067766
2019-02-01,1.0001038805471096,1.0504891335267859,1.1675126451400275,1.0580560596267294,0.9695769860645979
2019-02-04,0.9898416186861627,1.040156393552765,1.1675126451400275,1.0613177128986162,0.972486854902193
2019-02-05,0.9821450237362992,1.040156393552765,1.1624364838406913,1.1206784338341005,0.9788360009723521
2019-02-06,0.9872760532209259,1.0410958195605726,1.1675126451400275,1.183300683622121,0.9753969382923291
2019-02-07,0.9725824338806405,1.0336595695241473,1.1370557741637342,1.1121982597465454,0.97724874127388
2019-02-08,0.9849437117574519,1.0363990048921552,1.1522842580617427,1.1735159726451616,0.9791005442554308
2019-02-11,0.9721160873229617,1.0332680053602914,1.1167512257861132,1.185257675585253,0.9703705086375635
2019-02-12,0.9765472419106067,1.050175970499475,1.111675064486777,1.2191781230967726,0.984127081186467
2019-02-13,0.9725824338806405,1.0524459451600765,1.1167512257861132,1.208741081465436,0.9677250758067766
2019-02-14,0.9788796848199275,1.0513501583980485,1.1167512257861132,1.2824527035391706,1.0576719375789418
2019-02-15,0.9889087226791118,1.0675536486425627,1.0812181935104836,1.39856494721198,1.0825397571222326
2019-02-19,0.9935734056060598,1.0621524852277247,1.060913645132863,1.3587736482304147,1.0703704442718012
2019-02-20,0.9842440397521638,1.0673188867517973,1.0152283870782848,1.2994129272949304,1.0722223545296226
2019-02-21,0.9828445942957406,1.060039123617841,0.9644669677243705,1.2615786202764971,1.069576814422565
2019-02-22,1.0019696725612115,1.0692758245333367,0.9746192903230428,1.296803604677421,1.08306884368839
2019-02-25,1.004768462028211,1.0732156866356402,1.0253807096769572,1.4122635176958531,1.0978838039221492
2019-02-26,1.0033693209093282,1.0725064811816458,1.0355329354559057,1.5459883157788,1.1105820960624675
2019-02-27,1.00127010200177,1.0706153927859097,1.0812181935104836,1.441617775046082,1.1214285852212347
2019-02-28,1.011065712967498,1.0766827451019474,0.3604060725718049,1.4742335612488469,1.1252173685431217
2019-03-01,1.0112992413068012,1.090157270283093,0.35532993547739966,1.4527071473317958,1.1300883548819178
2019-03-04,1.004535339472295,1.091181341765755,0.3197969516116321,1.3776908639493066,1.1281940704972448
2019-03-05,1.0003371045488723,1.0934666434385691,0.3045685161234854,1.393998757050689,1.1449721864813447
2019-03-06,0.9763141193546908,1.095988094632884,0.2893400806353388,1.3470319452903232,1.137394834390112
2019-03-07,0.9653521854884557,1.0892903795182676,0.2791878064465283,1.3431180857834095,1.1273820964057515
2019-03-08,0.9536905796169324,1.0878718424620304,0.2639593709583817,1.3652968303548378,1.1303590129124155
2019-03-11,0.9679177509536924,1.0918118307125824,0.25888323386397644,1.332681044152073,1.141724826496724
2019-03-12,0.9732821058859286,1.0966973000868783,0.2639593709583817,1.2563600994608288,1.1325238480513158
2019-03-13,0.9798125808269784,1.098509545827199,0.2690355322577178,1.3026744561474668,1.1487607552506907
2019-03-14,0.9606875025615076,1.0875569764333626,0.2690355322577178,1.3581213175760374,1.1438897689118945
2019-03-15,0.9744483273405891,1.0842472248331405,0.25888323386397644,1.4233528899815673,1.1503843816048658
2019-03-18,0.9751478979000304,1.080859009022249,0.2639593709583817,1.4468362958617502,1.1522787732658093
2019-03-19,0.9865761783239442,1.0908663495888387,0.2791878064465283,1.3274625233364044,1.1601264615587286
2019-03-20,0.983544164855182,1.0818044901459927,0.3248730887060373,1.304631448110599,1.1641857956348427
