Date,PFE,JNJ,NVAX,MRNA,AZN,BNTX
2020-04-06,40503217.0,14994400.0,5415800.0,10841600.0,5735200.0,331000.0
2020-04-07,24226295.0,11567100.0,4704500.0,10104300.0,5600600.0,1461700.0
2020-04-08,25523980.0,10758200.0,13825700.0,4119800.0,3860200.0,819800.0
2020-04-09,30714930.0,11127200.0,4766100.0,4861800.0,5628200.0,1483000.0
2020-04-13,18270141.0,8153200.0,4114700.0,5603900.0,6555700.0,880700.0
2020-04-14,21845309.0,13838000.0,3936500.0,8126900.0,5109000.0,863900.0
2020-04-15,21312196.0,11962300.0,3455100.0,15683000.0,2901800.0,980600.0
2020-04-16,20657451.0,12181700.0,4188800.0,20670700.0,3218600.0,849400.0
2020-04-17,24404843.0,10920000.0,7478600.0,32286000.0,3349400.0,1008300.0
2020-04-20,22530620.0,12226200.0,27006300.0,34102500.0,3416400.0,1278800.0
2020-04-21,23975233.0,9951100.0,15517500.0,39642000.0,3545400.0,1507200.0
2020-04-22,20186103.0,11518300.0,6488700.0,11670100.0,2803600.0,10852500.0
2020-04-23,20185365.0,10665000.0,4911400.0,15152400.0,2549400.0,4271200.0
2020-04-24,17359380.0,8654100.0,4969800.0,11702100.0,2087600.0,1822700.0
2020-04-27,23394057.0,8924000.0,5280400.0,13744400.0,2105000.0,1183300.0
2020-04-28,35666728.0,8558700.0,3983000.0,13067200.0,5767500.0,1511200.0
2020-04-29,26518535.0,9285200.0,6512300.0,11762000.0,3786000.0,1766400.0
2020-04-30,29450973.0,14829600.0,4548900.0,7741900.0,5863600.0,1034100.0
2020-05-01,22679867.0,7309000.0,4761400.0,21701300.0,3206400.0,874600.0
2020-05-04,19893512.0,7198400.0,3736700.0,10460500.0,2852900.0,784900.0
2020-05-05,24123952.0,6562300.0,2948300.0,11160200.0,4579300.0,2604800.0
2020-05-06,24047432.0,6191600.0,2481000.0,6692300.0,6604600.0,889400.0
2020-05-07,33546080.0,5570500.0,3392200.0,30942700.0,2626600.0,815300.0
2020-05-08,19901312.0,4712100.0,3075400.0,24083200.0,1660100.0,696100.0
2020-05-11,25620421.0,5887500.0,24642100.0,34852000.0,3095300.0,1887400.0
2020-05-12,19335314.0,7039200.0,74649600.0,25934500.0,2221500.0,1910200.0
2020-05-13,24596882.0,6970500.0,24237100.0,22126000.0,3431200.0,1468800.0
2020-05-14,22362507.0,6871400.0,7832800.0,12198200.0,4998300.0,1099100.0
2020-05-15,25460002.0,10340400.0,21892500.0,16341900.0,3716800.0,793800.0
2020-05-18,22639077.0,7390000.0,24660100.0,80813300.0,4926300.0,5013900.0
2020-05-19,19476234.0,6107300.0,12579400.0,64932300.0,3271200.0,3612100.0
2020-05-20,17504200.0,5713400.0,8180300.0,53655300.0,4038000.0,1979300.0
2020-05-21,17652181.0,6487300.0,5479500.0,35318000.0,20428200.0,1094300.0
2020-05-22,15781226.0,6140900.0,6083300.0,28912700.0,6031200.0,941600.0
2020-05-26,23260094.0,7072300.0,22045300.0,40332600.0,5626600.0,1511100.0
